უჟეჟთაეს-	höchster
დასხმა	legen, auflegen, anordnen, hinwerfen, setzen, pflanzen, ausgießen, anfallen, sich andrängen, bedrängen
ზედადასხმა	überfallen
წინადასხმა	hinlegen, geben, zeigen
გარდასხმა	herüberholen, wegwerfen, wegschütten, überschütten, übergießen
შთასხმა	hineinschütten, hineinlegen, hineinwerfen, hineinpassen
ჩასხმა	hineinschütten, hineinlegen, hineinwerfen, hineinpassen; hineinschütten, hineinlegen, hineinwerfen, hineinpassen
შესხმა	anfassen, anlegen, schenken, verleihen, preisen, kleiden, schmücken, sich schmücken, hineinstecken
მისხმა	wegwerfen, hinwerfen, hintreiben
განსხმა	hinauswerfen, verjagen, vertreiben; hineinbohren (Dorn)
უკუნსხმა	zurücklegen, nach hinten legen
მოსხმა	herbringen, heranführen, hertreiben, ansammeln, anhäufen, verbreiten
გამოსხმა	ausweisen, hinaustreiben, vertreiben, hinausführen, hinausbringen; eingießen
გარდამოსხმა	herablassen, herabschütten, austreiben
გარემოსხმა	umzingeln, umgeben, einkreisen
წარმოსხმა	sich umhängen, bedecken; verschütten
უკუმოსხმა	ringsum anhäufen
აღმოსხმა	heraufkommen; ausschütten; herausnehmen
წარსხმა	wegführen, vertreiben, verjagen
აღსხმა	hinaufbringen
წჳმა	regnen
ბანა	(sich) waschen, baden
დაბანა	waschen, sich waschen, baden
განბანა	sich waschen, sich reinigen
მობანა	waschen, baden
განა	aber, nur, doch, jedoch; aber, nur, doch, jedoch
თანა	bei, dabei, an, zu, neben, mit, zusammen mit
თანაჲსთანა	beisammen, nebeneinander
უკანა	hinten; hinten
ოსანა	Hosianna; Hosanna
ოსსანა	Hosianna
ჵსანა	Hosianna; Hosanna
უკუანა	hinten
ფხანა	kratzen
მოფხანა	sich kratzen
ებნა	Harfe spielen
ტკებნა	stampfen, treten, feststampfen
დატკებნა	stampfen
ძებნა	suchen
ჯობნა	übertreffen, besser sein
შეგრაგნა	einhüllen, einwickeln
წარგრაგნა	umwickeln, falten
დაზერგნა	stampfen
ყმედნა	Atem anhalten
ჴუედნა	schimpfen, Vorwürfe machen
ჴედნა	abrichten, trainieren
ცოდნა	wissen, erkennen; beischlafen
თანადცოდნა	wissen
ბლარდნა	einwickeln, einhüllen
მობლარდნა	umhüllen, einwickeln
წარბლარდნა	umwickeln
დაჴორდნა	zerkratzen
კბენა	beißen
დაკბენა	beißen, stechen
რბენა	rennen, laufen
მირბენა	hinrennen
მორბენა	herumrennen, ringsherumrennen
გამორბენა	Herausrennen, Herrennen
აღრბენა	hinaufrennen, hinaufeilen
აღდგენა	aufrichten, aufstehen lassen, auferwecken; hervorrufen, wiederherstellen, anregen; aufrichten, aufstehen lassen, auferwecken; hervorrufen, wiederherstellen,
გრგენა	aufreizen, aufstacheln
მოგრგენა	in die Augen stechen, verwundern, erstaunen
გარდმოდენა	herabfließen
დაწვენა	legen, hinlegen
შთაწვენა	hineinlegen, hinablegen
მიწვენა	hinlegen, schlafen legen
შემოწვენა	hereinlegen
ზრზენა	reizen, aufstacheln, aufhetzen, Widerstand leisten
აღზრზენა	hervorrufen, in Erregung versetzen
აღმოცთენა	entlocken, entschlüpfen
განბრწკენა	glänzen
ვლენა	gehen lassen, laufen lassen; gehen lassen, laufen lassen
თმენა	erdulden, ertragen
დათმენა	sich gedulden, ertragen
მოთმენა	sich gedulden, ertragen
სმენა	hören, erhören, verstehen, zu verstehen geben, gehorchen, glauben, beschuldigen
შესმენა	vernehmen, hören, anzeigen
მისმენა	erfahren, bemerken
განსმენა	Nachricht verbreiten
მოსმენა	hören
რწმენა	glauben
აღფრენა	auffliegen, emporfliegen
მიმოთქრენა	drehen, wenden
დატენა	füllen, vollstopfen
სტუენა	beobachten, spähen; pfeifen, singen
ბრდღუენა	brüllen, toben, wüten
დაყუენა	rasieren; rasieren
თანაწარტყუენა	rauben, entführen
დაფენა	decken, ausbreiten
მიმოდაფენა	umherstreuen, verstreuen, verbreiten
გარდაფენა	überdecken, verbreiten
მიფენა	ausbreiten, hinwerfen
განფენა	ausbreiten, sich verbreiten; ausgießen, vermischen
მიმოგანფენა	verbreiten
მოფენა	ausbreiten, belegen
შემოფენა	ausbreiten, verbreiten
მიმოფენა	verbreiten (Nachricht)
რქენა	mit den Hörnern stoßen
გარქენა	mit den Hörnern stoßen
დარქენა	mit den Hörnern stoßen
წყენა	betrüben, kränken, überdrüssig sein; betrüben, kränken, überdrüssig sein
ჩენა	(sich) zeigen, scheinen, erscheinen, dafürhalten; festlegen
აჩენა	zeigen, sehen lassen; betrachten als, halten für; bezeichnen, bestimmen, einsetzen; zeigen, sehen lassen; betrachten als, halten für; bezeichnen, bestimmen, einsetzen
დარჩენა	aufziehen, erziehen
უკურჩენა	Gewinn machen, profitieren
აღჩენა	zeigen, sehen lassen; betrachten als, halten für; bezeichnen, bestimmen, einsetzen
დაძენა	vermehren; schlafen, einschlafen, sterben
ზედადაძენა	hinzufügen, mehren
შეძენა	hinzufügen, mehren, gewinnen; hinzufügen, mehren, gewinnen
ღრჭენა	knirschen
დაღრჭენა	(Zähne) knirschen
ღჭენა	knirschen; knirschen
ფრჩხენა	zwicken; zwicken
შეფრჩხენა	kratzen, zerkratzen
მოფრჩხენა	kratzen, zerkratzen
ფრცხენა	zwicken
გაგზავნა	schicken, senden
მიგზავნა	senden
წარმგზავნა	wegschicken, weggeschickt werden, begleiten; wegschicken, weggeschickt werden, begleiten
წარმოგზავნა	herschicken
წარგზავნა	wegschicken, weggeschickt werden, begleiten
დევნა	folgen, verfolgen, vertreiben, begleiten
გარესგარედევნა	weit fortjagen, weit vertreiben
მიდევნა	folgen, nachfolgen
განდევნა	vertreiben, verjagen
მოდევნა	mitkommen, mitnehmen
გამოდევნა	herauswerfen, verfolgen
მიმოდევნა	verfolgt werden, verstreut werden
წარდევნა	vertreiben, verjagen, verfolgen
დალევნა	beenden, zu Ende gehen; beenden, zu Ende gehen
ძირგარევნა	peinigen, foltern
წარევნა	phantasieren, unsinnig reden
ტევნა	hineinpassen
დატევნა	erdulden, ertragen; hineinpassen; annehmen
შთატევნა	hineinpassen
მოწუევნა	einladen
წევნა	einholen, erreichen, widerfahren, helfen
გაწევნა	aushalten, erreichen; aushalten, erreichen
დაწევნა	einholen
შთაწევნა	hineingelangen, hinabgelangen
შეწევნა	helfen; hineingehen, eindringen
თანაშეწევნა	helfen
მიწევნა	hingehen, erreichen; verstehen
ზედამიწევნა	zu verstehen geben, verstehen
განწევნა	aushalten, erreichen
მოწევნა	herankommen, kommen, sich nähern, erreichen, widerfahren, machen, antun
გამოწევნა	herauskommen
შთამოწევნა	herabziehen, herabkommen
შემოწევნა	kommen, herankommen
აღმოწევნა	heraufkommen, heraufziehen
წარწევნა	einholen, hingelangen
აღწევნა	emporgezogen werden, emporgelangen
პოვნა	finden; existieren, sein
ჴსოვნა	gedenken, sich erinnern
ყოვნა	zögern, sich verspäten
ძოვნა	weiden
წოვნა	saugen
შეთხზნა	flechten, hineinflechten, verknüpfen; erschaffen; flechten, hineinflechten, verknüpfen; erschaffen
თნა	gefallen
შეთნა	gefallen; sich verlieben
გინა	selbst wenn, sogar wenn; oder
ვინა	woher, woher stammend, wie
შინა	innen, daheim; in, hinein
მეყუსა შინა	sofort, plötzlich; sofort, plötzlich
მეყსა შინა	sofort, plötzlich
მეჴსა შინა	sofort, plötzlich; sofort, plötzlich
მას შინა	dann, damals
წინა	vor, vorn, früh, erst, vorher
უწინა	früher
მწლაკნა	gierig essen
თარგმნა	übersetzen, kommentieren
ზმნა	arbeiten, machen, tun; erfahren, erkennen, vorhersehen; beabsichtigen
ქმნა	machen, tun, wirken, arbeiten, sein, werden, geschehen
ცუდ-ქმნა	als vergeblich betrachten
კიდე-ქმნა	abtrennen, entfernen
თავისუფალ-ქმნა	befreien
მლხინებელ-ქმნა	erleichtern
საძულელ-ქმნა	verhaßt machen
მეწამულ-ქმნა	rot färben, röten
ჴელცემულ-ქმნა	beginnen
უფერულ-ქმნა	farblos machen
სრულ-ქმნა	vollenden, erfüllen
გჳრგჳნოსან-ქმნა	krönen
უგონ-ქმნა	dumm werden, verdummen
უშვილო-ქმნა	kinderlos machen
უღონო-ქმნა	nicht imstande sein
უცხო-ქმნა	entfernen
მეგობარ-ქმნა	Freunde werden, sich befreunden
შვილიერ-ქმნა	mit Kind / Kindern versehend, kinderreich machend
კადნიერ-ქმნა	dreist machen, dreist werden lassen
ეკკლესიის-ქმნა	sich versammeln
კეთილის-ქმნა	Gutes tun
უგულებელს-ქმნა	mißachten
თანახატ-ქმნა	ähneln
კსუ-ქმნა	derb / grob machen
პირუტყუ-ქმნა	zum Tier machen
მყოფ-ქმნა	(sich) ansiedeln, einbürgern
მოშიშ-ქმნა	verängstigen
შეურაცხ-ქმნა	mißachten
აქმნა	erbauen, machen, errichten; erbauen, machen, errichten
შექმნა	machen, schaffen, werden
განქმნა	machen
მოქმნა	machen, bearbeiten, schmücken, umgeben, ringsherumfügen
გამოქმნა	machen, tun; herausschneiden
წინამოქმნა	im voraus bearbeiten
აღმოქმნა	ausgraben; machen
აღქმნა	erbauen, machen, errichten
ჯმნა	(sich) entfernen, (sich) trennen, sich verabschieden
გაჯმნა	hinauslassen, entfernen; hinauslassen, entfernen
განჯმნა	hinauslassen, entfernen
წარჯმნა	verabschieden, entlassen
ჵსანნა	Hosianna; Hosianna
წონა	wiegen
აწონა	wiegen, abwägen, erwägen, berücksichtigen, Gefallen finden; wiegen, abwägen, erwägen, berücksichtigen, Gefallen finden
დაწონა	wiegen, abwiegen
გარდაწონა	biegen
მიწონა	abwiegen
განწონა	werten; einspießen, einbohren
მოწონა	wiegen, messen, erwägen
