			აბულაძე
თჳსისაჲთ	PRON	თჳს-	
საჭურისნი	NOUN	საჭურის-	
იშვნეს;	VERB	შვ	შობა
და	CONJ	და	
არიან	VERB	ყოფმა	ყოფა
საჭურისნი,	NOUN	საჭურის-	
რომელნი	PRON	რომელ-	
კაცთაგან	NOUN	კაც-	
გამოისაჭურისნეს;	VERB	საჭურის	გამოსაჭურისება
და	CONJ	და	
არიან	VERB	ყოფნა	ყოფა
საჭურისნი,	NOUN	საჭურის-	
რომელთა	PRON	რომელ-	
გამოისაჭურისნეს	VERB	საჭურის	გამოსაჭურისება
თავნი	NOUN	თავ-	
თჳსნი	PRON	თჳს-	
სასუფეველისათჳს	NOUN	სასუფეველ-	
ცათაჲსა.	NOUN	ცა	
რომელი	PRON	რომელ-	
შემძლებელ	NOUN	შემძლებელ-	
არს	VERB	არ-ს	ყოფა
დატევნად,	NOUN	დატევნა	
დაიტიენ.	VERB	ტ	დატევა
Mt.19-13		Mt.19-13	
მაშინ	ADV	მაშინ	
მოჰგუარეს	VERB	გუარ	მოგურა
მას	PRON	იგი	
ყრმები,	NOUN	ყრმა	
რაჲთამცა	CONJ	რაჲთამცა	
ჴელი	NOUN	ჴელ-	
დასდვა	VERB	დევ	დადება
მათ	PRON	მათ	
ზედა	PRT	ზედა	
და	CONJ	და	
აკურთხნა	VERB	კურთხ	კურთხევა
იგინი.	PRON	იგი	
ხოლო	CONJ	ხოლო	
მოწაფენი	NOUN	მოწაფე	
ჰრისხვიდეს	VERB	რისხ	რისხვა
მათ.	PRON	მათ.	
Mt.19-14		Mt.19-14	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
აცადეთ	VERB	ცად	ცადება
ყრმებსა	NOUN	ყრმა	
მაგას	PRON	ეგე	
მოსლვად	NOUN	მოსლვა	
ჩემდა	PRON	ჩემ	
და	CONJ	და	
ნუ	PRT	ნუ	
აყენებთ	VERB	ყენ	ყენება
მაგათ,	PRON	ეგე	
რამეთუ	CONJ	რამეთუ	
ეგევითართაჲ	PRON	ეგევითარ-	
არს	VERB	არ-ს	ყოფა
სასუფეველი	NOUN	სასუფეველ-	
ცათაჲ.	NOUN	ცა	
Mt.19-15		Mt.19-15	
და	CONJ	და	
დაასხნა	VERB	სხენ	დასხმა
მათ	PRON	მათ	
ზედა	PRT	ზედა	
ჴელნი.	NOUN	ჴელ-	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
წარვიდა	VERB	ვიდ	წარსლვა
მიერ,	PRT	მიერ,	
Mt.19-16		Mt.19-16	
აჰა,	PRT	აჰა,	
მო-ვინმე-უჴდა	VERB	ჴდ	მოჴდომა
მას	PRON	იგი	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
მოძღუარო	NOUN	მოძღუარ-	
სახიერო,	ADJ	სახიერ-	
რაჲ	PRON	რა	
კეთილი	ADJ	კეთილ-	
ვქმნე,	VERB	ქმენ	ქმნა
რაჲთა	CONJ	რაჲთა	
მაქუნდეს	VERB	ქუ	ქუან-
ცხორებაჲ	NOUN	ცხორება	
საუკუნოჲ?	ADJ	საუკუნო	
Mt.19-17		Mt.19-17	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რაჲსა	PRT	რა	
მეტყჳ	VERB	ტყუ	სიტყუა
მე	PRON	მე	
სახიერით?	ADJ	სახიერ-	
არა	PRT	არა	
ვინ	PRON	ვინ	
არს	VERB	არ-ს	ყოფა
სახიერი,	ADJ	სახიერ-	
გარნა	PRT	გარნა	
მხოლოჲ	ADJ	მხოლო	
ღმერთი.	NOUN	ღმერთ-	
ხოლო	CONJ	ხოლო	
თუ	PRT	თუ	
უკუეთუ	CONJ	უკუეთუ	
გნებავს	VERB	ნებ	ნებება
ცხორებასა	NOUN	ცხორება	
შესლვაჲ,	NOUN	შესლვა	
დაიმარხენ	VERB	მარხ	დამარხვა
მცნებანი.	NOUN	მცნება	
Mt.19-18		Mt.19-18	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რომელნი?	PRON	რომელ-	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
ვითარმედ:	CONJ	ვითარმედ:	
არა	PRT	არა	
კაც-ჰკლა,	VERB	კაც-კლვა	კაც-კლვა
არა	PRT	არა	
იპარო,	VERB	პარ	პარვა
არა	PRT	არა	
იმრუშო,	VERB	მრუშ	მრუშება
არა	PRT	არა	
ცილი	NOUN	ცილ-	
სწამო,	VERB	წამ	წამება
Mt.19-19		Mt.19-19	
პატივ-ეც	VERB	პატივ-ცემა	პატივ-ცემა
მამასა	NOUN	მამა	
შენსა	PRON	შენ-	
და	CONJ	და	
დედასა	NOUN	დედა	
შენსა	PRON	შენ-	
და	CONJ	და	
შეიყუარო	VERB	ყუარ	შეყუარება
მოყუასი	NOUN	მოყუას-	
შენი,	PRON	შენ-	
ვითარცა	CONJ	ვითარცა	
თავი	NOUN	თავ-	
თჳსი.	PRON	თჳს-	
Mt.19-20		Mt.19-20	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
ჭაბუკმან	NOUN	ჭაბუკ-	
მან:	PRON	იგი	
ესე	PRON	ესე	
ყოველი	PRON	ყოველ-	
დამიმარხავს	VERB	მარხ	დამარხვა
სიყრმით	NOUN	სიყრმე	
ჩემითგან,	PRON	ჩემ-	
რაჲღა	PRT	რაჲღა	
მაკლს	VERB	კლ	კლება
მე?	PRON	მე?	
Mt.19-21		Mt.19-21	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
იესუ:	NOUN	იესუ:	
უკუეთუ	CONJ	უკუეთუ	
გნებავს,	VERB	ნებ	ნებება
რაჲთა	CONJ	რაჲთა	
სრულ	ADJ	სრულ-	
იყო,	VERB	ყოფნა	ყოფა
წარვედ	VERB	ვედ	წარსლვა
და	CONJ	და	
განყიდე	VERB	ყიდ	განყიდვა
მონაგები	NOUN	მონაგებ-	
შენი	PRON	შენ-	
და	CONJ	და	
მიეც	VERB	ც	მიცემა
გლახაკთა,	NOUN	გლახაკ-	
და	CONJ	და	
გაქუნდეს	VERB	ქუ	ქუან-
საუნჯე	NOUN	საუნჯე	
ცათა	NOUN	ცა	
შინა,	PRT	შინა,	
და	CONJ	და	
მოვედ	VERB	ვედ	მოსლვა
და	CONJ	და	
შემომიდეგ	VERB	დეგ	შემოდგომა
მე.	PRON	მე.	
Mt.19-22		Mt.19-22	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
ესმა	VERB	სმ	სმენა
სიტყუაჲ	NOUN	სიტყუა	
ესე	PRON	ესე	
ჭაბუკსა	NOUN	ჭაბუკ-	
მას,	PRON	იგი	
წარვიდა	VERB	ვიდ	წარსლვა
მწუხარე,	ADJ	მწუხარე,	
რამეთუ	CONJ	რამეთუ	
იყო	VERB	ყოფნა	ყოფა
იგი	PRON	იგი	
მდიდარ	ADJ	მდიდარ	
ფრიად.	ADV	ფრიად.	
Mt.19-23		Mt.19-23	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მოწაფეთა	NOUN	მოწაფე	
თჳსთა:	PRON	თჳს-	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
რამეთუ	CONJ	რამეთუ	
მდიდარი	ADJ	მდიდარ-	
ძნიად	ADV	ძნიად	
შევიდეს	VERB	ვიდ	შესლვა
სასუფეველსა	NOUN	სასუფეველ-	
ცათასა.	NOUN	ცა	
Mt.19-24		Mt.19-24	
და	CONJ	და	
მერმე	ADV	მერმე	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ:	PRON	თქუენ:	
უადვილეს	ADJ	უადვილეს-	
არს	VERB	არ-ს	ყოფა
აქლემი	NOUN	აქლემ-	
განსლვად	NOUN	განსლვა	
ჴურელსა	NOUN	ჴურელ-	
ნემსისასა,	NOUN	ნემს-	
ვიდრე	CONJ	ვიდრე	
მდიდარი	ADJ	მდიდარ-	
შესლვად	NOUN	შესლვა	
სასუფეველსა	NOUN	სასუფეველ-	
ცათასა.	NOUN	ცა	
Mt.19-25		Mt.19-25	
ვითარცა	CONJ	ვითარცა	
ესმა	VERB	სმ	სმენა
ესე	PRON	ესე	
მოწაფეთა	NOUN	მოწაფე	
მისთა,	PRON	მის-	
განუკჳრდებოდა	VERB	კჳრ	განკჳრვება
ფრიად	ADV	ფრიად	
და	CONJ	და	
იტყოდეს:	VERB	ტყუ	სიტყუა
და	CONJ	და	
ვისმე	PRON	ვინმე	
ჴელ-ეწიფების	VERB	ჴელ-წიფება	ჴელ-წიფება
ცხოვნებად?	NOUN	ცხოვნება	
Mt.19-26		Mt.19-26	
მიჰხედა	VERB	ხედ	მიხედვა
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
კაცთაგან	NOUN	კაც-	
შეუძლებელ	ADJ	შეუძლებელ-	
არს	VERB	არ-ს	ყოფა
ესე,	PRON	ესე,	
ხოლო	CONJ	ხოლო	
ღმრთისა	NOUN	ღმერთ-	
მიერ	PRT	მიერ	
ყოველივე	PRON	ყოველივე	
შესაძლებელ	ADJ	შესაძლებელ-	
არს.	VERB	არ-ს	ყოფა
Mt.19-27		Mt.19-27	
მაშინ	ADV	მაშინ	
მიუგო	VERB	გ	მიგება
პეტრე	NOUN	პეტრე	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
აჰა,	PRT	აჰა,	
ესერა,	PRT	ესერა,	
ჩუენ	PRON	ჩუენ	
ყოველი	PRON	ყოველ-	
დაუტევეთ	VERB	ტ	დატევება
და	CONJ	და	
შეგიდეგით	VERB	დეგ	შედგომა
შენ:	PRON	შენ:	
რაჲმე	PRT	რაჲმე	
იყოს	VERB	ყოფნა	ყოფა
ჩუენდა?	PRON	ჩუენდა?	
Mt.19-28		Mt.19-28	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
რამეთუ	CONJ	რამეთუ	
თქუენ,	PRON	თქუენ,	
რომელნი-ეგე	PRON	რომელ-ეგე	
შემომიდეგით	VERB	დეგ	შემოდგომა
მე,	PRON	მე,	
მერმესა	ADV	მერმე	
მას	PRON	იგი	
შობასა,	NOUN	შობა	
რაჟამს	ADV	რაჟამს	
დაჯდეს	VERB	ჯედ	დაჯდომა
ძე	NOUN	ძე	
კაცისაჲ	NOUN	კაც-	
საყდართა	NOUN	საყდარ-	
დიდებისა	NOUN	დიდება	
თჳსისათა,	PRON	თჳს-	
დასხდეთ	VERB	სხ	დასხდომა
თქუენცა	PRON	თქუენ	
ათორმეტთა	NUM	ათორმეტ-	
საყდართა	NOUN	საყდარ-	
განშჯად	NOUN	განშჯა	
ათორმეტთა	NUM	ათორმეტ-	
ტომთა	NOUN	ტომ-	
ისრაჱლისათა.	NOUN	ისრაჱლ-	
Mt.19-29		Mt.19-29	
და	CONJ	და	
ყოველმან	PRON	ყოველ-	
რომელმან	PRON	რომელ-	
დაუტევა	VERB	ტ	დატევება
სახლი,	NOUN	სახლ-	
გინა	PRT	გინა	
ძმანი,	NOUN	ძმა	
ანუ	CONJ	ანუ	
დანი,	NOUN	და	
ანუ	CONJ	ანუ	
მამაჲ,	NOUN	მამა	
ანუ	CONJ	ანუ	
დედაჲ,	NOUN	დედა	
ანუ	CONJ	ანუ	
ცოლი,	NOUN	ცოლ-	
ანუ	CONJ	ანუ	
შვილნი,	NOUN	შვილ-	
ანუ	CONJ	ანუ	
აგარაკნი	NOUN	აგარაკ-	
სახელისა	NOUN	სახელ-	
ჩემისათჳს,	PRON	ჩემ-	
ას	NUM	ას	
წილად	NOUN	წილ-	
მიიღოს	VERB	ღ	მიღება
და	CONJ	და	
ცხორებაჲ	NOUN	ცხორება	
საუკუნოჲ	ADJ	საუკუნო	
დაიმკჳდროს.	VERB	მკჳდრ	დამკჳდრება
Mt.19-30		Mt.19-30	
ხოლო	CONJ	ხოლო	
მრავალნი	ADJ	მრავალ-	
იყვნენ	VERB	ყოფნა	ყოფა
პირველნი	ADJ	პირველ-	
უკუანა,	ADJ	უკუანა,	
და	CONJ	და	
უკუანანი	ADJ	უკუანა	
--		--	
წინა.	ADJ	წინა.	
